Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,location,On hand (new),On hand (current)
3661842471556,Nappe Adour Bleu Fleurs - Coton Bio Artiga x Thevenon,"<p>À La Gustothèque, nous sélectionnons des pièces qui racontent une histoire et magnifient votre quotidien. Cette nappe Adour est le fruit d'une collaboration inspirée entre Artiga, expert en linge de maison français, et Thevenon, une maison textile d'exception depuis 1908. Elle incarne une élégance singulière, mêlant l'éclat de la Riviera italienne à la délicatesse du raffinement japonais.</p><p>Conçue pour apporter une touche d'originalité et de distinction à vos repas, cette nappe de 160 cm de diamètre est parfaite pour des tables conviviales. Ses motifs raffinés de rayures bleues et de ganses fleuries s'intégreront avec harmonie à divers styles d'intérieur, des plus classiques aux plus contemporains.</p><p><strong>Bénéfices pour votre table et votre intérieur:</strong></p><ul><li><strong>Coton Bio de Qualité:</strong> Fabriquée en 100 % coton bio, elle offre une douceur naturelle et une robustesse exemplaire pour un usage quotidien.</li><li><strong>Design Exclusif:</strong> Une collaboration unique pour un motif original et intemporel, rehaussé de fleurs japonisantes.</li><li><strong>Fabrication Française:</strong> Conçue et confectionnée avec soin dans l'atelier du Sud-Ouest, garantissant un savoir-faire authentique.</li><li><strong>Entretien Facilité:</strong> Sa conception en coton de qualité assure une grande résistance aux lavages fréquents, préservant ses couleurs et sa tenue.</li><li><strong>Polyvalence Esthétique:</strong> Idéale pour des repas en famille, des dîners entre amis ou des occasions spéciales, elle s'adapte à chaque moment.</li></ul><p>Cette nappe n'est pas seulement un accessoire, c'est une invitation à partager des moments précieux autour d'une table dressée avec goût et authenticité. Un choix qui reflète notre engagement pour la qualité et la durabilité.</p><h3>Le conseil de La Gustothèque</h3><p>Pour une harmonie parfaite, associez cette nappe Adour bleu fleurs avec de la vaisselle blanche ou des tons neutres qui mettront en valeur ses motifs délicats. Elle sera le cadeau idéal pour les amateurs de belles tables et d'art de vivre à la française.</p>",ARTIGA,,TABLE,"nappe, linge de table, coton bio, adour, bleu, fleurs, artiga, thevenon, fabrication française, design italien, motif japonais, 160 cm, Lagustothèque",TRUE,Taille,160 cm,,,,,ADOUN160FL_1476_160CM,,shopify,0,deny,manual,129.00,,TRUE,TRUE,3661842471556,https://www.artiga.fr/8259-medium_default/nappe-en-coton-adour-bleu-fleurs.jpg,1,"Nappe en coton Adour bleu avec motifs rayés et ganses fleuries, style Riviera et japonais",FALSE,Nappe Coton Adour Bleu Fleurs Artiga x Thevenon - Fabrication Française,"Découvrez notre nappe en coton Adour bleu, fruit d'une collaboration exclusive Artiga x Thevenon. Inspirée de la Riviera italienne et du Japon, elle offre un motif élégant de rayures et fleurs. 100% coton bio, résistante et fabriquée en France. Idéale pour sublimer votre table avec raffinement, sélectionnée par La Gustothèque.",4143,,,,,,,kg,,,,,,,,,active,La Gustothèque,0,
3661842471556,Nappe Adour Bleu Fleurs - Coton Bio Artiga x Thevenon,"<p>À La Gustothèque, nous sélectionnons des pièces qui racontent une histoire et magnifient votre quotidien. Cette nappe Adour est le fruit d'une collaboration inspirée entre Artiga, expert en linge de maison français, et Thevenon, une maison textile d'exception depuis 1908. Elle incarne une élégance singulière, mêlant l'éclat de la Riviera italienne à la délicatesse du raffinement japonais.</p><p>Conçue pour apporter une touche d'originalité et de distinction à vos repas, cette nappe de 160 cm de diamètre est parfaite pour des tables conviviales. Ses motifs raffinés de rayures bleues et de ganses fleuries s'intégreront avec harmonie à divers styles d'intérieur, des plus classiques aux plus contemporains.</p><p><strong>Bénéfices pour votre table et votre intérieur:</strong></p><ul><li><strong>Coton Bio de Qualité:</strong> Fabriquée en 100 % coton bio, elle offre une douceur naturelle et une robustesse exemplaire pour un usage quotidien.</li><li><strong>Design Exclusif:</strong> Une collaboration unique pour un motif original et intemporel, rehaussé de fleurs japonisantes.</li><li><strong>Fabrication Française:</strong> Conçue et confectionnée avec soin dans l'atelier du Sud-Ouest, garantissant un savoir-faire authentique.</li><li><strong>Entretien Facilité:</strong> Sa conception en coton de qualité assure une grande résistance aux lavages fréquents, préservant ses couleurs et sa tenue.</li><li><strong>Polyvalence Esthétique:</strong> Idéale pour des repas en famille, des dîners entre amis ou des occasions spéciales, elle s'adapte à chaque moment.</li></ul><p>Cette nappe n'est pas seulement un accessoire, c'est une invitation à partager des moments précieux autour d'une table dressée avec goût et authenticité. Un choix qui reflète notre engagement pour la qualité et la durabilité.</p><h3>Le conseil de La Gustothèque</h3><p>Pour une harmonie parfaite, associez cette nappe Adour bleu fleurs avec de la vaisselle blanche ou des tons neutres qui mettront en valeur ses motifs délicats. Elle sera le cadeau idéal pour les amateurs de belles tables et d'art de vivre à la française.</p>",,,,"nappe, linge de table, coton bio, adour, bleu, fleurs, artiga, thevenon, fabrication française, design italien, motif japonais, 160 cm, Lagustothèque",,,,,,,,,,,,,,,,,,,https://www.artiga.fr/8260-medium_default/nappe-en-coton-adour-bleu-fleurs.jpg,2,"Nappe en coton Adour bleu avec motifs rayés et ganses fleuries, style Riviera et japonais",,Nappe Coton Adour Bleu Fleurs Artiga x Thevenon - Fabrication Française,"Découvrez notre nappe en coton Adour bleu, fruit d'une collaboration exclusive Artiga x Thevenon. Inspirée de la Riviera italienne et du Japon, elle offre un motif élégant de rayures et fleurs. 100% coton bio, résistante et fabriquée en France. Idéale pour sublimer votre table avec raffinement, sélectionnée par La Gustothèque.",4143,,,,,,,,,,,,,,,,,,,
3661842471556,Nappe Adour Bleu Fleurs - Coton Bio Artiga x Thevenon,"<p>À La Gustothèque, nous sélectionnons des pièces qui racontent une histoire et magnifient votre quotidien. Cette nappe Adour est le fruit d'une collaboration inspirée entre Artiga, expert en linge de maison français, et Thevenon, une maison textile d'exception depuis 1908. Elle incarne une élégance singulière, mêlant l'éclat de la Riviera italienne à la délicatesse du raffinement japonais.</p><p>Conçue pour apporter une touche d'originalité et de distinction à vos repas, cette nappe de 160 cm de diamètre est parfaite pour des tables conviviales. Ses motifs raffinés de rayures bleues et de ganses fleuries s'intégreront avec harmonie à divers styles d'intérieur, des plus classiques aux plus contemporains.</p><p><strong>Bénéfices pour votre table et votre intérieur:</strong></p><ul><li><strong>Coton Bio de Qualité:</strong> Fabriquée en 100 % coton bio, elle offre une douceur naturelle et une robustesse exemplaire pour un usage quotidien.</li><li><strong>Design Exclusif:</strong> Une collaboration unique pour un motif original et intemporel, rehaussé de fleurs japonisantes.</li><li><strong>Fabrication Française:</strong> Conçue et confectionnée avec soin dans l'atelier du Sud-Ouest, garantissant un savoir-faire authentique.</li><li><strong>Entretien Facilité:</strong> Sa conception en coton de qualité assure une grande résistance aux lavages fréquents, préservant ses couleurs et sa tenue.</li><li><strong>Polyvalence Esthétique:</strong> Idéale pour des repas en famille, des dîners entre amis ou des occasions spéciales, elle s'adapte à chaque moment.</li></ul><p>Cette nappe n'est pas seulement un accessoire, c'est une invitation à partager des moments précieux autour d'une table dressée avec goût et authenticité. Un choix qui reflète notre engagement pour la qualité et la durabilité.</p><h3>Le conseil de La Gustothèque</h3><p>Pour une harmonie parfaite, associez cette nappe Adour bleu fleurs avec de la vaisselle blanche ou des tons neutres qui mettront en valeur ses motifs délicats. Elle sera le cadeau idéal pour les amateurs de belles tables et d'art de vivre à la française.</p>",,,,"nappe, linge de table, coton bio, adour, bleu, fleurs, artiga, thevenon, fabrication française, design italien, motif japonais, 160 cm, Lagustothèque",,,,,,,,,,,,,,,,,,,https://www.artiga.fr/8261-medium_default/nappe-en-coton-adour-bleu-fleurs.jpg,3,"Nappe en coton Adour bleu avec motifs rayés et ganses fleuries, style Riviera et japonais",,Nappe Coton Adour Bleu Fleurs Artiga x Thevenon - Fabrication Française,"Découvrez notre nappe en coton Adour bleu, fruit d'une collaboration exclusive Artiga x Thevenon. Inspirée de la Riviera italienne et du Japon, elle offre un motif élégant de rayures et fleurs. 100% coton bio, résistante et fabriquée en France. Idéale pour sublimer votre table avec raffinement, sélectionnée par La Gustothèque.",4143,,,,,,,,,,,,,,,,,,,
3661842471556,Nappe Adour Bleu Fleurs - Coton Bio Artiga x Thevenon,"<p>À La Gustothèque, nous sélectionnons des pièces qui racontent une histoire et magnifient votre quotidien. Cette nappe Adour est le fruit d'une collaboration inspirée entre Artiga, expert en linge de maison français, et Thevenon, une maison textile d'exception depuis 1908. Elle incarne une élégance singulière, mêlant l'éclat de la Riviera italienne à la délicatesse du raffinement japonais.</p><p>Conçue pour apporter une touche d'originalité et de distinction à vos repas, cette nappe de 160 cm de diamètre est parfaite pour des tables conviviales. Ses motifs raffinés de rayures bleues et de ganses fleuries s'intégreront avec harmonie à divers styles d'intérieur, des plus classiques aux plus contemporains.</p><p><strong>Bénéfices pour votre table et votre intérieur:</strong></p><ul><li><strong>Coton Bio de Qualité:</strong> Fabriquée en 100 % coton bio, elle offre une douceur naturelle et une robustesse exemplaire pour un usage quotidien.</li><li><strong>Design Exclusif:</strong> Une collaboration unique pour un motif original et intemporel, rehaussé de fleurs japonisantes.</li><li><strong>Fabrication Française:</strong> Conçue et confectionnée avec soin dans l'atelier du Sud-Ouest, garantissant un savoir-faire authentique.</li><li><strong>Entretien Facilité:</strong> Sa conception en coton de qualité assure une grande résistance aux lavages fréquents, préservant ses couleurs et sa tenue.</li><li><strong>Polyvalence Esthétique:</strong> Idéale pour des repas en famille, des dîners entre amis ou des occasions spéciales, elle s'adapte à chaque moment.</li></ul><p>Cette nappe n'est pas seulement un accessoire, c'est une invitation à partager des moments précieux autour d'une table dressée avec goût et authenticité. Un choix qui reflète notre engagement pour la qualité et la durabilité.</p><h3>Le conseil de La Gustothèque</h3><p>Pour une harmonie parfaite, associez cette nappe Adour bleu fleurs avec de la vaisselle blanche ou des tons neutres qui mettront en valeur ses motifs délicats. Elle sera le cadeau idéal pour les amateurs de belles tables et d'art de vivre à la française.</p>",ARTIGA,,TABLE,"nappe, linge de table, coton bio, adour, bleu, fleurs, artiga, thevenon, fabrication française, design italien, motif japonais, 160 cm, Lagustothèque",TRUE,Taille,250 cm,,,,,ADOUN160FL_1476_250CM,,shopify,0,deny,manual,169.00,,TRUE,TRUE,3661842471648,,,"Nappe en coton Adour bleu avec motifs rayés et ganses fleuries, style Riviera et japonais",FALSE,Nappe Coton Adour Bleu Fleurs Artiga x Thevenon - Fabrication Française,"Découvrez notre nappe en coton Adour bleu, fruit d'une collaboration exclusive Artiga x Thevenon. Inspirée de la Riviera italienne et du Japon, elle offre un motif élégant de rayures et fleurs. 100% coton bio, résistante et fabriquée en France. Idéale pour sublimer votre table avec raffinement, sélectionnée par La Gustothèque.",4143,,,,,,,kg,,,,,,,,,active,La Gustothèque,0,
3661842471556,Nappe Adour Bleu Fleurs - Coton Bio Artiga x Thevenon,"<p>À La Gustothèque, nous sélectionnons des pièces qui racontent une histoire et magnifient votre quotidien. Cette nappe Adour est le fruit d'une collaboration inspirée entre Artiga, expert en linge de maison français, et Thevenon, une maison textile d'exception depuis 1908. Elle incarne une élégance singulière, mêlant l'éclat de la Riviera italienne à la délicatesse du raffinement japonais.</p><p>Conçue pour apporter une touche d'originalité et de distinction à vos repas, cette nappe de 160 cm de diamètre est parfaite pour des tables conviviales. Ses motifs raffinés de rayures bleues et de ganses fleuries s'intégreront avec harmonie à divers styles d'intérieur, des plus classiques aux plus contemporains.</p><p><strong>Bénéfices pour votre table et votre intérieur:</strong></p><ul><li><strong>Coton Bio de Qualité:</strong> Fabriquée en 100 % coton bio, elle offre une douceur naturelle et une robustesse exemplaire pour un usage quotidien.</li><li><strong>Design Exclusif:</strong> Une collaboration unique pour un motif original et intemporel, rehaussé de fleurs japonisantes.</li><li><strong>Fabrication Française:</strong> Conçue et confectionnée avec soin dans l'atelier du Sud-Ouest, garantissant un savoir-faire authentique.</li><li><strong>Entretien Facilité:</strong> Sa conception en coton de qualité assure une grande résistance aux lavages fréquents, préservant ses couleurs et sa tenue.</li><li><strong>Polyvalence Esthétique:</strong> Idéale pour des repas en famille, des dîners entre amis ou des occasions spéciales, elle s'adapte à chaque moment.</li></ul><p>Cette nappe n'est pas seulement un accessoire, c'est une invitation à partager des moments précieux autour d'une table dressée avec goût et authenticité. Un choix qui reflète notre engagement pour la qualité et la durabilité.</p><h3>Le conseil de La Gustothèque</h3><p>Pour une harmonie parfaite, associez cette nappe Adour bleu fleurs avec de la vaisselle blanche ou des tons neutres qui mettront en valeur ses motifs délicats. Elle sera le cadeau idéal pour les amateurs de belles tables et d'art de vivre à la française.</p>",ARTIGA,,TABLE,"nappe, linge de table, coton bio, adour, bleu, fleurs, artiga, thevenon, fabrication française, design italien, motif japonais, 160 cm, Lagustothèque",TRUE,Taille,300 cm,,,,,ADOUN160FL_1476_300CM,,shopify,0,deny,manual,189.00,,TRUE,TRUE,3661842471709,,,"Nappe en coton Adour bleu avec motifs rayés et ganses fleuries, style Riviera et japonais",FALSE,Nappe Coton Adour Bleu Fleurs Artiga x Thevenon - Fabrication Française,"Découvrez notre nappe en coton Adour bleu, fruit d'une collaboration exclusive Artiga x Thevenon. Inspirée de la Riviera italienne et du Japon, elle offre un motif élégant de rayures et fleurs. 100% coton bio, résistante et fabriquée en France. Idéale pour sublimer votre table avec raffinement, sélectionnée par La Gustothèque.",4143,,,,,,,kg,,,,,,,,,active,La Gustothèque,0,
3661842471549,Nappe Adour Vert Fleurs - Coton Bio Artiga x Thevenon,"<p>À La Gustothèque, nous sélectionnons des pièces qui racontent une histoire et magnifient votre quotidien. Cette nappe Adour est le fruit d'une collaboration inspirée entre Artiga, expert en linge de maison français, et Thevenon, une maison textile d'exception depuis 1908. Elle incarne une élégance singulière, mêlant l'éclat de la Riviera italienne à la délicatesse du raffinement japonais.</p><p>Conçue pour apporter une touche d'originalité et de distinction à vos repas, cette nappe de 160 cm de diamètre est parfaite pour des tables conviviales. Ses motifs raffinés de rayures vertes et de ganses fleuries s'intégreront avec harmonie à divers styles d'intérieur, des plus classiques aux plus contemporains.</p><p><strong>Bénéfices pour votre table et votre intérieur:</strong></p><ul><li><strong>Coton Bio de Qualité:</strong> Fabriquée en 100 % coton bio, elle offre une douceur naturelle et une robustesse exemplaire pour un usage quotidien.</li><li><strong>Design Exclusif:</strong> Une collaboration unique pour un motif original et intemporel, rehaussé de fleurs japonisantes.</li><li><strong>Fabrication Française:</strong> Conçue et confectionnée avec soin dans l'atelier du Sud-Ouest, garantissant un savoir-faire authentique.</li><li><strong>Entretien Facilité:</strong> Sa conception en coton de qualité assure une grande résistance aux lavages fréquents, préservant ses couleurs et sa tenue.</li><li><strong>Polyvalence Esthétique:</strong> Idéale pour des repas en famille, des dîners entre amis ou des occasions spéciales, elle s'adapte à chaque moment.</li></ul><p>Cette nappe n'est pas seulement un accessoire, c'est une invitation à partager des moments précieux autour d'une table dressée avec goût et authenticité. Un choix qui reflète notre engagement pour la qualité et la durabilité.</p><h3>Le conseil de La Gustothèque</h3><p>Pour une harmonie parfaite, associez cette nappe Adour vert fleurs avec de la vaisselle blanche ou des tons neutres qui mettront en valeur ses motifs délicats. Elle sera le cadeau idéal pour les amateurs de belles tables et d'art de vivre à la française.</p>",ARTIGA,,TABLE,"nappe, linge de table, coton bio, adour, vert, fleurs, artiga, thevenon, fabrication française, design italien, motif japonais, 160 cm, Lagustothèque",TRUE,Taille,160 cm,,,,,ADOUN160FL_1477_160CM,,shopify,0,deny,manual,129.00,,TRUE,TRUE,3661842471549,https://www.artiga.fr/8256-medium_default/nappe-en-coton-adour-vert-fleurs.jpg,1,"Nappe en coton Adour vert avec motifs rayés et ganses fleuries, esprit Riviera et japonais",FALSE,Nappe Coton Adour Vert Fleurs Artiga x Thevenon - Linge de Table Français,"Découvrez notre nappe en coton Adour vert, issue de l'alliance Artiga et Thevenon. Son design unique mêle rayures Riviera et motifs floraux japonais. Fabriquée en France en coton bio, elle est durable et facile d'entretien. Parfaite pour une table élégante et authentique, sélectionnée par La Gustothèque.",4143,,,,,,,kg,,,,,,,,,active,La Gustothèque,0,
3661842471549,Nappe Adour Vert Fleurs - Coton Bio Artiga x Thevenon,"<p>À La Gustothèque, nous sélectionnons des pièces qui racontent une histoire et magnifient votre quotidien. Cette nappe Adour est le fruit d'une collaboration inspirée entre Artiga, expert en linge de maison français, et Thevenon, une maison textile d'exception depuis 1908. Elle incarne une élégance singulière, mêlant l'éclat de la Riviera italienne à la délicatesse du raffinement japonais.</p><p>Conçue pour apporter une touche d'originalité et de distinction à vos repas, cette nappe de 160 cm de diamètre est parfaite pour des tables conviviales. Ses motifs raffinés de rayures vertes et de ganses fleuries s'intégreront avec harmonie à divers styles d'intérieur, des plus classiques aux plus contemporains.</p><p><strong>Bénéfices pour votre table et votre intérieur:</strong></p><ul><li><strong>Coton Bio de Qualité:</strong> Fabriquée en 100 % coton bio, elle offre une douceur naturelle et une robustesse exemplaire pour un usage quotidien.</li><li><strong>Design Exclusif:</strong> Une collaboration unique pour un motif original et intemporel, rehaussé de fleurs japonisantes.</li><li><strong>Fabrication Française:</strong> Conçue et confectionnée avec soin dans l'atelier du Sud-Ouest, garantissant un savoir-faire authentique.</li><li><strong>Entretien Facilité:</strong> Sa conception en coton de qualité assure une grande résistance aux lavages fréquents, préservant ses couleurs et sa tenue.</li><li><strong>Polyvalence Esthétique:</strong> Idéale pour des repas en famille, des dîners entre amis ou des occasions spéciales, elle s'adapte à chaque moment.</li></ul><p>Cette nappe n'est pas seulement un accessoire, c'est une invitation à partager des moments précieux autour d'une table dressée avec goût et authenticité. Un choix qui reflète notre engagement pour la qualité et la durabilité.</p><h3>Le conseil de La Gustothèque</h3><p>Pour une harmonie parfaite, associez cette nappe Adour vert fleurs avec de la vaisselle blanche ou des tons neutres qui mettront en valeur ses motifs délicats. Elle sera le cadeau idéal pour les amateurs de belles tables et d'art de vivre à la française.</p>",,,,"nappe, linge de table, coton bio, adour, vert, fleurs, artiga, thevenon, fabrication française, design italien, motif japonais, 160 cm, Lagustothèque",,,,,,,,,,,,,,,,,,,https://www.artiga.fr/8257-medium_default/nappe-en-coton-adour-vert-fleurs.jpg,2,"Nappe en coton Adour vert avec motifs rayés et ganses fleuries, esprit Riviera et japonais",,Nappe Coton Adour Vert Fleurs Artiga x Thevenon - Linge de Table Français,"Découvrez notre nappe en coton Adour vert, issue de l'alliance Artiga et Thevenon. Son design unique mêle rayures Riviera et motifs floraux japonais. Fabriquée en France en coton bio, elle est durable et facile d'entretien. Parfaite pour une table élégante et authentique, sélectionnée par La Gustothèque.",4143,,,,,,,,,,,,,,,,,,,
3661842471549,Nappe Adour Vert Fleurs - Coton Bio Artiga x Thevenon,"<p>À La Gustothèque, nous sélectionnons des pièces qui racontent une histoire et magnifient votre quotidien. Cette nappe Adour est le fruit d'une collaboration inspirée entre Artiga, expert en linge de maison français, et Thevenon, une maison textile d'exception depuis 1908. Elle incarne une élégance singulière, mêlant l'éclat de la Riviera italienne à la délicatesse du raffinement japonais.</p><p>Conçue pour apporter une touche d'originalité et de distinction à vos repas, cette nappe de 160 cm de diamètre est parfaite pour des tables conviviales. Ses motifs raffinés de rayures vertes et de ganses fleuries s'intégreront avec harmonie à divers styles d'intérieur, des plus classiques aux plus contemporains.</p><p><strong>Bénéfices pour votre table et votre intérieur:</strong></p><ul><li><strong>Coton Bio de Qualité:</strong> Fabriquée en 100 % coton bio, elle offre une douceur naturelle et une robustesse exemplaire pour un usage quotidien.</li><li><strong>Design Exclusif:</strong> Une collaboration unique pour un motif original et intemporel, rehaussé de fleurs japonisantes.</li><li><strong>Fabrication Française:</strong> Conçue et confectionnée avec soin dans l'atelier du Sud-Ouest, garantissant un savoir-faire authentique.</li><li><strong>Entretien Facilité:</strong> Sa conception en coton de qualité assure une grande résistance aux lavages fréquents, préservant ses couleurs et sa tenue.</li><li><strong>Polyvalence Esthétique:</strong> Idéale pour des repas en famille, des dîners entre amis ou des occasions spéciales, elle s'adapte à chaque moment.</li></ul><p>Cette nappe n'est pas seulement un accessoire, c'est une invitation à partager des moments précieux autour d'une table dressée avec goût et authenticité. Un choix qui reflète notre engagement pour la qualité et la durabilité.</p><h3>Le conseil de La Gustothèque</h3><p>Pour une harmonie parfaite, associez cette nappe Adour vert fleurs avec de la vaisselle blanche ou des tons neutres qui mettront en valeur ses motifs délicats. Elle sera le cadeau idéal pour les amateurs de belles tables et d'art de vivre à la française.</p>",,,,"nappe, linge de table, coton bio, adour, vert, fleurs, artiga, thevenon, fabrication française, design italien, motif japonais, 160 cm, Lagustothèque",,,,,,,,,,,,,,,,,,,https://www.artiga.fr/8258-medium_default/nappe-en-coton-adour-vert-fleurs.jpg,3,"Nappe en coton Adour vert avec motifs rayés et ganses fleuries, esprit Riviera et japonais",,Nappe Coton Adour Vert Fleurs Artiga x Thevenon - Linge de Table Français,"Découvrez notre nappe en coton Adour vert, issue de l'alliance Artiga et Thevenon. Son design unique mêle rayures Riviera et motifs floraux japonais. Fabriquée en France en coton bio, elle est durable et facile d'entretien. Parfaite pour une table élégante et authentique, sélectionnée par La Gustothèque.",4143,,,,,,,,,,,,,,,,,,,
3661842471549,Nappe Adour Vert Fleurs - Coton Bio Artiga x Thevenon,"<p>À La Gustothèque, nous sélectionnons des pièces qui racontent une histoire et magnifient votre quotidien. Cette nappe Adour est le fruit d'une collaboration inspirée entre Artiga, expert en linge de maison français, et Thevenon, une maison textile d'exception depuis 1908. Elle incarne une élégance singulière, mêlant l'éclat de la Riviera italienne à la délicatesse du raffinement japonais.</p><p>Conçue pour apporter une touche d'originalité et de distinction à vos repas, cette nappe de 160 cm de diamètre est parfaite pour des tables conviviales. Ses motifs raffinés de rayures vertes et de ganses fleuries s'intégreront avec harmonie à divers styles d'intérieur, des plus classiques aux plus contemporains.</p><p><strong>Bénéfices pour votre table et votre intérieur:</strong></p><ul><li><strong>Coton Bio de Qualité:</strong> Fabriquée en 100 % coton bio, elle offre une douceur naturelle et une robustesse exemplaire pour un usage quotidien.</li><li><strong>Design Exclusif:</strong> Une collaboration unique pour un motif original et intemporel, rehaussé de fleurs japonisantes.</li><li><strong>Fabrication Française:</strong> Conçue et confectionnée avec soin dans l'atelier du Sud-Ouest, garantissant un savoir-faire authentique.</li><li><strong>Entretien Facilité:</strong> Sa conception en coton de qualité assure une grande résistance aux lavages fréquents, préservant ses couleurs et sa tenue.</li><li><strong>Polyvalence Esthétique:</strong> Idéale pour des repas en famille, des dîners entre amis ou des occasions spéciales, elle s'adapte à chaque moment.</li></ul><p>Cette nappe n'est pas seulement un accessoire, c'est une invitation à partager des moments précieux autour d'une table dressée avec goût et authenticité. Un choix qui reflète notre engagement pour la qualité et la durabilité.</p><h3>Le conseil de La Gustothèque</h3><p>Pour une harmonie parfaite, associez cette nappe Adour vert fleurs avec de la vaisselle blanche ou des tons neutres qui mettront en valeur ses motifs délicats. Elle sera le cadeau idéal pour les amateurs de belles tables et d'art de vivre à la française.</p>",ARTIGA,,TABLE,"nappe, linge de table, coton bio, adour, vert, fleurs, artiga, thevenon, fabrication française, design italien, motif japonais, 160 cm, Lagustothèque",TRUE,Taille,250 cm,,,,,ADOUN160FL_1477_250CM,,shopify,0,deny,manual,169.00,,TRUE,TRUE,3661842471631,,,"Nappe en coton Adour vert avec motifs rayés et ganses fleuries, esprit Riviera et japonais",FALSE,Nappe Coton Adour Vert Fleurs Artiga x Thevenon - Linge de Table Français,"Découvrez notre nappe en coton Adour vert, issue de l'alliance Artiga et Thevenon. Son design unique mêle rayures Riviera et motifs floraux japonais. Fabriquée en France en coton bio, elle est durable et facile d'entretien. Parfaite pour une table élégante et authentique, sélectionnée par La Gustothèque.",4143,,,,,,,kg,,,,,,,,,active,La Gustothèque,0,
3661842471549,Nappe Adour Vert Fleurs - Coton Bio Artiga x Thevenon,"<p>À La Gustothèque, nous sélectionnons des pièces qui racontent une histoire et magnifient votre quotidien. Cette nappe Adour est le fruit d'une collaboration inspirée entre Artiga, expert en linge de maison français, et Thevenon, une maison textile d'exception depuis 1908. Elle incarne une élégance singulière, mêlant l'éclat de la Riviera italienne à la délicatesse du raffinement japonais.</p><p>Conçue pour apporter une touche d'originalité et de distinction à vos repas, cette nappe de 160 cm de diamètre est parfaite pour des tables conviviales. Ses motifs raffinés de rayures vertes et de ganses fleuries s'intégreront avec harmonie à divers styles d'intérieur, des plus classiques aux plus contemporains.</p><p><strong>Bénéfices pour votre table et votre intérieur:</strong></p><ul><li><strong>Coton Bio de Qualité:</strong> Fabriquée en 100 % coton bio, elle offre une douceur naturelle et une robustesse exemplaire pour un usage quotidien.</li><li><strong>Design Exclusif:</strong> Une collaboration unique pour un motif original et intemporel, rehaussé de fleurs japonisantes.</li><li><strong>Fabrication Française:</strong> Conçue et confectionnée avec soin dans l'atelier du Sud-Ouest, garantissant un savoir-faire authentique.</li><li><strong>Entretien Facilité:</strong> Sa conception en coton de qualité assure une grande résistance aux lavages fréquents, préservant ses couleurs et sa tenue.</li><li><strong>Polyvalence Esthétique:</strong> Idéale pour des repas en famille, des dîners entre amis ou des occasions spéciales, elle s'adapte à chaque moment.</li></ul><p>Cette nappe n'est pas seulement un accessoire, c'est une invitation à partager des moments précieux autour d'une table dressée avec goût et authenticité. Un choix qui reflète notre engagement pour la qualité et la durabilité.</p><h3>Le conseil de La Gustothèque</h3><p>Pour une harmonie parfaite, associez cette nappe Adour vert fleurs avec de la vaisselle blanche ou des tons neutres qui mettront en valeur ses motifs délicats. Elle sera le cadeau idéal pour les amateurs de belles tables et d'art de vivre à la française.</p>",ARTIGA,,TABLE,"nappe, linge de table, coton bio, adour, vert, fleurs, artiga, thevenon, fabrication française, design italien, motif japonais, 160 cm, Lagustothèque",TRUE,Taille,300 cm,,,,,ADOUN160FL_1477_300CM,,shopify,0,deny,manual,189.00,,TRUE,TRUE,3661842471693,,,"Nappe en coton Adour vert avec motifs rayés et ganses fleuries, esprit Riviera et japonais",FALSE,Nappe Coton Adour Vert Fleurs Artiga x Thevenon - Linge de Table Français,"Découvrez notre nappe en coton Adour vert, issue de l'alliance Artiga et Thevenon. Son design unique mêle rayures Riviera et motifs floraux japonais. Fabriquée en France en coton bio, elle est durable et facile d'entretien. Parfaite pour une table élégante et authentique, sélectionnée par La Gustothèque.",4143,,,,,,,kg,,,,,,,,,active,La Gustothèque,0,
